tail_hash	tail_len	tail_hex	events	source_entries	target_entries	semantic_gap_classes	source_classes	prefix_sources	prefix_lens	span_lens	top_sources	top_targets	u16_candidates	target_match_offsets	tail_schema	motifs	byte_layout
3093c135ffa4	0x6	73c8e9f12308	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	334:1	66:1					b0=0x73;b1=0xc8;b2=0xe9;b3=0xf1;b4=0x23;b5=0x08
74b5821a7635	0x6	83ce8741008f	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	334:1	18:1	+0x3:65				b0=0x83;b1=0xce;b2=0x87;b3=0x41;b4=0x00;b5=0x8f
0f6445fadffd	0x6	880af08f1ffa	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	145:1	332:1					b0=0x88;b1=0x0a;b2=0xf0;b3=0x8f;b4=0x1f;b5=0xfa
a17339a07bf7	0x6	a00a006ab300	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	145:1	18:1	+0x1:10,+0x4:179				b0=0xa0;b1=0x0a;b2=0x00;b3=0x6a;b4=0xb3;b5=0x00
8e3aeb689ff9	0x6	a6a5889210c9	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	180:1					b0=0xa6;b1=0xa5;b2=0x88;b3=0x92;b4=0x10;b5=0xc9
53d3849efb75	0x6	a782679c50fb	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	140:1					b0=0xa7;b1=0x82;b2=0x67;b3=0x9c;b4=0x50;b5=0xfb
c550e9f5e3aa	0x6	b3c7e44c6800	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	334:1	239:1	+0x4:104				b0=0xb3;b1=0xc7;b2=0xe4;b3=0x4c;b4=0x68;b5=0x00
604c808ca155	0x6	b48ce4adb300	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	199:1	+0x4:179				b0=0xb4;b1=0x8c;b2=0xe4;b3=0xad;b4=0xb3;b5=0x00
5da54fd668e5	0x6	b5eb57b4371a	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	316:1	297:1					b0=0xb5;b1=0xeb;b2=0x57;b3=0xb4;b4=0x37;b5=0x1a
5ee52bbf1c02	0x6	bf042b7d44c0	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	350:1					b0=0xbf;b1=0x04;b2=0x2b;b3=0x7d;b4=0x44;b5=0xc0
d753cb36df0a	0x6	c0e5519dd364	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	316:1	183:1					b0=0xc0;b1=0xe5;b2=0x51;b3=0x9d;b4=0xd3;b5=0x64
6644d1ed48e0	0x6	d004a43b04c3	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	145:1	183:1					b0=0xd0;b1=0x04;b2=0xa4;b3=0x3b;b4=0x04;b5=0xc3
ed6a9e67c106	0x6	d9d5b4851002	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	246:1	91:1					b0=0xd9;b1=0xd5;b2=0xb4;b3=0x85;b4=0x10;b5=0x02
fe5ba7447727	0x6	ece122083081	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	316:1	121:1					b0=0xec;b1=0xe1;b2=0x22;b3=0x08;b4=0x30;b5=0x81
1430cc411c30	0x6	ede86fccb681	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	316:1	185:1					b0=0xed;b1=0xe8;b2=0x6f;b3=0xcc;b4=0xb6;b5=0x81
7076d95051ee	0x6	fbc947526800	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	334:1	121:1	+0x4:104				b0=0xfb;b1=0xc9;b2=0x47;b3=0x52;b4=0x68;b5=0x00
a877651c76db	0x8	1480eb790d6ffdd7	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x13:1	210:1	157:1					b0=0x14;b1=0x80;b2=0xeb;b3=0x79;b4=0x0d;b5=0x6f;b6=0xfd;b7=0xd7
740b868e17b8	0xc	0d4376600d008000e801ab00	1	1	1	target_only_prefix_plus_tail:1	target_only:1	target_only_static_ip_advance:1	0x5:1	0x11:1	80:1	171:1	+0x4:13,+0x6:128,+0xa:171*	171@+0xa:1	target_only_8000_tail_target@+0xa	8000,e801,ab00	b0=0x0d;b1=0x43;b2=0x76;b3=0x60;b4=0x0d;b5=0x00;b6=0x80;b7=0x00;b8=0xe8;b9=0x01;b10=0xab;b11=0x00
9bb760222806	0xc	5b5647601a008000e801ab00	1	1	1	target_only_prefix_plus_tail:1	target_only:1	target_only_static_ip_advance:1	0x5:1	0x11:1	80:1	171:1	+0x4:26,+0x6:128,+0xa:171*	171@+0xa:1	target_only_8000_tail_target@+0xa	8000,e801,ab00	b0=0x5b;b1=0x56;b2=0x47;b3=0x60;b4=0x1a;b5=0x00;b6=0x80;b7=0x00;b8=0xe8;b9=0x01;b10=0xab;b11=0x00
fa974f4ec50c	0xc	c679ab2a2c0080006201e801	1	1	1	target_only_prefix_plus_tail:1	target_only:1	target_only_static_ip_advance:1	0x5:1	0x11:1	80:1	354:1	+0x4:44,+0x6:128,+0x8:354*	354@+0x8:1	target_only_8000_tail_target@+0x8	8000,e801,6201	b0=0xc6;b1=0x79;b2=0xab;b3=0x2a;b4=0x2c;b5=0x00;b6=0x80;b7=0x00;b8=0x62;b9=0x01;b10=0xe8;b11=0x01
