row_type	scope	metric	value	entry	target	events	flags	frontier_kind	evidence	next_action	note
frontier				226	0xa6e55	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				227	0xa6f03	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				228	0xa6f79	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				230	0xa757f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				232	0xa7ef8	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				233	0xa81c4	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				234	0xa823e	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				235	0xa8450	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				236	0xa87b6	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				238	0xa94a5	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				244	0xaaf3e	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				247	0xabd6f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				249	0xac440	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				252	0xacefd	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				255	0xad768	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				262	0xaef02	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				263	0xaf26d	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				265	0xaf57f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				270	0xb0930	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				271	0xb09ab	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				272	0xb0e30	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				274	0xb1548	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				275	0xb180e	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				277	0xb1fd5	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				279	0xb23f7	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				286	0xb42e2	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				288	0xb4980	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				289	0xb4a2b	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				293	0xb593f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				294	0xb5d7c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				296	0xb625d	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				298	0xb6902	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				303	0xb769c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				304	0xb7717	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				306	0xb7bba	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				309	0xb84a7	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				312	0xb87aa	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				318	0xba683	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				324	0xbb8aa	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				325	0xbba0f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				327	0xbc320	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				328	0xbc466	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				329	0xbc676	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				335	0xbe648	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				339	0xbf2d5	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				341	0xbf889	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				342	0xbfb99	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				343	0xbfc0d	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				344	0xbff6a	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				353	0xc21c3	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				355	0xc240f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				356	0xc291a	116	0x4	path_microcode_unknown_target	path_hash=7af0b6860c39318d class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, ok:13,unknown_target:103	seed missing live-ins or force the branch path until target/ip validate	-
frontier				216	0xa4a61	112	0x4	path_microcode_unknown_target	path_hash=75052fca20bfc88b class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:112	seed missing live-ins or force the branch path until target/ip validate	-
frontier				278	0xb2342	82	0x4	path_microcode_unknown_target	path_hash=a604fbe70c42f7fd class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:82	seed missing live-ins or force the branch path until target/ip validate	-
frontier				311	0xb86f8	67	0x4	path_microcode_unknown_target	path_hash=75688f09a9896611 class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:67	seed missing live-ins or force the branch path until target/ip validate	-
frontier				95	0x8c41c	52	0x4	path_microcode_unknown_target	path_hash=605a965b0cc7f63e class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:52	seed missing live-ins or force the branch path until target/ip validate	-
frontier				264	0xaf4cf	49	0x4	path_microcode_unknown_target	path_hash=e3b0c44298fc1c14 class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:49	seed missing live-ins or force the branch path until target/ip validate	-
frontier				95	0x8c41c	40	0x4	path_microcode_unknown_target	path_hash=be7c6d4e5e3db62f class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:40	seed missing live-ins or force the branch path until target/ip validate	-
frontier				321	0xbb1dd	13	0x4	path_microcode_unknown_target	path_hash=e43a6d061b0d7434 class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:13	seed missing live-ins or force the branch path until target/ip validate	-
frontier				321	0xbb1dd	6	0x4	path_microcode_unknown_target	path_hash=9e32de774899afb7 class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:6	seed missing live-ins or force the branch path until target/ip validate	-
frontier				78	0x883c0	1	0x4	path_microcode_unknown_target	path_hash=96fd915ac218c913 class=affine_dispatch_fallback target_pct=0.0 ip_pct=0.0 validation=target=0.0%, ip=0.0%, unknown_target:1	seed missing live-ins or force the branch path until target/ip validate	-
metric	config_frontier	handler_static_only_frontier_rows	155								Dispatch entries present statically but not observed in the trace matrix.
metric	config_frontier	handler_target_only_frontier_rows	3								Dispatch entries reached as concrete targets but not observed as concrete sources.
metric	config_frontier	path_microcode_validated_rows	560								Path-specialized rows with target and IP validation at 100%.
metric	config_frontier	path_microcode_unknown_target_rows	10								Path-specialized rows whose target/IP validation is still zero or incomplete.
frontier				65535	0x0	12	0x8	no_real_network_allowed_trace	concrete instruction traces reached network calls but 11 were denied and 1 was locally faked	run controlled real-network trace or deeper protocol-faithful fake responses	-
frontier				65535	0x0	769225	0x10	synthetic_fill_only	trace_dir=dumps/vmtail-wide-1m-w16-filefill trace_rows=769225 source_entries=202 target_entries=205 vm_ip_starts=71522	replace derived fill coverage with concrete config trace or static symbolic proof	-
frontier				65535	0x0	770754	0x10	synthetic_fill_only	trace_dir=dumps/vmtail-wide-1m-w16-filefill-hiddenfill trace_rows=770754 source_entries=205 target_entries=205 vm_ip_starts=71742	replace derived fill coverage with concrete config trace or static symbolic proof	-
frontier				65535	0x0	770800	0x10	synthetic_fill_only	trace_dir=dumps/vmtail-wide-1m-w16-filefill-hiddenfill-frontierfill trace_rows=770800 source_entries=205 target_entries=205 vm_ip_starts=71788	replace derived fill coverage with concrete config trace or static symbolic proof	-
frontier				65535	0x0	770822	0x10	synthetic_fill_only	trace_dir=dumps/vmtail-wide-1m-w16-filefill-hiddenfill-frontierfill-footprintfill trace_rows=770822 source_entries=205 target_entries=205 vm_ip_starts=71809	replace derived fill coverage with concrete config trace or static symbolic proof	-
